Obs point #0,-47.28,17.466,0.9306747,,,,,,,,,,,,,,,,
Obs point #0,-33.485,14.527,0.9533837,-33.485,14.527,,,,,,,,,,,,,,
Obs point #0,-34.454,4.408,1.221305,-34.454,4.408,-34.454,4.408,-34.454,4.408,,,,,,,,,,
Obs point #1,,,0.5947868,-48.42736,5.723771,-48.42736,5.723771,-48.42736,5.723771,,,,,,,,,,
Obs point #1,,,0.7675306,-51.21457,5.987059,-47.45958,16.4442,-51.21457,5.987059,,,,,,,,,,
Obs point #1,,,1.160041,-51.826,6.045,-47.36969,17.44015,-51.826,6.045,-51.826,6.045,-51.826,6.045,,,,,,
Obs point #1,,,1.207726,,,-47.36683,17.47185,-50.762,17.711,-50.762,17.711,-50.762,17.711,-50.762,17.711,,,,
Obs point #1,,,1.217236,,,-50.16054,17.66735,,,,,-50.16054,17.66735,-50.16054,17.66735,-50.762,17.711,,
Obs point #2,,,0.6716247,,,-50.24822,16.6959,,,,,-47.45958,16.4442,-50.24822,16.6959,-50.16054,17.66735,,
Obs point #2,,,0.9710375,,,-51.21457,5.987059,,,,,-47.36969,17.44015,-51.21457,5.987059,-50.24822,16.6959,,
Obs point #2,,,0.974883,,,-51.826,6.045,,,,,-47.36683,17.47185,-48.42736,5.723771,-47.36683,17.47185,,
Obs point #2,,,0.9751656,,,,,,,,,-47.28,17.466,-47.45958,16.4442,-47.28,17.466,-47.28,17.466
Obs point #2,,,0.9751744,,,,,,,,,-33.485,14.527,-47.36969,17.44015,-47.32,15.919,-33.485,14.527
Obs point #2,,,1.02515,,,,,,,,,,,-47.36683,17.47185,-33.485,14.527,-34.454,4.408
Obs point #2,,,1.02576,,,,,,,,,,,-47.28,17.466,-34.454,4.408,,
Obs point #2,,,1.034256,,,,,,,,-50.762,17.711,,-47.32,15.919,,,,
Obs point #2,,,1.048082,,,,,,,,-50.16054,17.66735,,-33.485,14.527,,,,
Obs point #3,,,0.6287524,,,,,,,,-50.24822,16.6959,,,,,,,
Obs point #3,,,0.7951553,,,,,,,,-47.36683,17.47185,,,,,,,
Obs point #3,,,0.8453918,,,,,,-47.28,17.466,-47.28,17.466,,,,,,,
Obs point #3,,,0.8574908,,,,,,-33.485,14.527,-47.32,15.919,,,,,,,
Obs point #3,,,1.101663,,,,,,-34.454,4.408,-33.485,14.527,,,,,,,
Obs point #4,,,0.8391749,,,,,,,,-34.454,4.408,,,,,,,
Obs point #4,,,1.069335,,,,,,,,,,,,,,,,
Obs point #5,,,0.8262678,,,,,,,,,,,,,,,,
Obs point #5,,,1.031819,,,,,,,,,,,,,,,,
Obs point #5,,,1.044166,,,,,,,,,,,,,,,,
Obs point #5,,,1.075551,,,,,,,,,,,,,,,,
Obs point #5,,,1.096824,,,,,,,,,,,,,,,,
Obs point #5,,,1.097512,,,,,,,,,,,,,,,,
Obs point #5,,,1.099071,,,,,,,,,,,,,,,,
Obs point #5,,,1.251155,,,,,,,,,,,,,,,,
Obs point #6,,,0.9589584,,,,,,,,,,,,,,,,
Obs point #6,,,0.9712442,,,,,,,,,,,,,,,,
Obs point #6,,,0.9716241,,,,,,,,,,,,,,,,
Obs point #6,,,0.9750076,,,,,,,,,,,,,,,,
Obs point #6,,,1.021098,,,,,,,,,,,,,,,,
Obs point #6,,,1.02764,,,,,,,,,,,,,,,,
Obs point #6,,,1.028393,,,,,,,,,,,,,,,,
Obs point #6,,,1.028418,,,,,,,,,,,,,,,,
Obs point #6,,,1.030194,,,,,,,,,,,,,,,,
Obs point #6,,,1.03095,,,,,,,,,,,,,,,,
Obs point #6,,,1.29144,,,,,,,,,,,,,,,,
Obs point #7,,,0.8924419,,,,,,,,,,,,,,,,
Obs point #7,,,0.902833,,,,,,,,,,,,,,,,
Obs point #7,,,0.9232667,,,,,,,,,,,,,,,,
Obs point #7,,,0.9548188,,,,,,,,,,,,,,,,
Obs point #7,,,0.9565371,,,,,,,,,,,,,,,,
Obs point #7,,,0.991089,,,,,,,,,,,,,,,,
Obs point #7,,,1.362353,,,,,,,,,,,,,,,,
Obs point #7,,,1.461569,,,,,,,,,,,,,,,,
